iterations,voters,mean,mean_bucket,std,majority_correct_with_equal_expertise,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000,31,0.9,,0.07,1,,,,,
1000,41,0.9,,0.07,1,,,,,
1000,51,0.9,,0.07,1,,,,,
1000,3,0.9,,0.08,0.979,,,,,
1000,5,0.9,,0.08,0.991,,,,,
1000,7,0.9,,0.08,0.997,,,,,
1000,9,0.9,,0.08,1,,,,,
1000,11,0.9,,0.08,0.999,,,,,
1000,21,0.9,,0.08,1,,,,,
1000,31,0.9,,0.08,1,,,,,
1000,41,0.9,,0.08,1,,,,,
1000,51,0.9,,0.08,1,,,,,
1000,3,0.9,,0.1,0.974,,,,,
1000,5,0.9,,0.1,0.993,,,,,
1000,7,0.9,,0.1,0.999,,,,,
1000,9,0.9,,0.1,1,,,,,
1000,11,0.9,,0.1,1,,,,,
1000,21,0.9,,0.1,1,,,,,
1000,31,0.9,,0.1,1,,,,,
1000,41,0.9,,0.1,1,,,,,
1000,51,0.9,,0.1,1,,,,,
1000,3,0.9,,0.11,0.979,,,,,
1000,5,0.9,,0.11,0.992,,,,,
1000,7,0.9,,0.11,0.997,,,,,
1000,9,0.9,,0.11,1,,,,,
1000,11,0.9,,0.11,1,,,,,
1000,21,0.9,,0.11,1,,,,,
1000,31,0.9,,0.11,1,,,,,
1000,41,0.9,,0.11,1,,,,,
1000,51,0.9,,0.11,1,,,,,
1000,3,0.9,,0.12,0.973,,,,,
1000,5,0.9,,0.12,0.989,,,,,
1000,7,0.9,,0.12,0.998,,,,,
1000,9,0.9,,0.12,1,,,,,
1000,11,0.9,,0.12,1,,,,,
1000,21,0.9,,0.12,1,,,,,
1000,31,0.9,,0.12,1,,,,,
1000,41,0.9,,0.12,1,,,,,
1000,51,0.9,,0.12,1,,,,,
1000,3,0.95,,0.02,0.993,,,,,
1000,5,0.95,,0.02,0.999,,,,,
1000,7,0.95,,0.02,1,,,,,
1000,9,0.95,,0.02,1,,,,,
1000,11,0.95,,0.02,1,,,,,
1000,21,0.95,,0.02,1,,,,,
1000,31,0.95,,0.02,1,,,,,
1000,41,0.95,,0.02,1,,,,,
1000,51,0.95,,0.02,1,,,,,
1000,3,0.95,,0.03,0.994,,,,,
1000,5,0.95,,0.03,0.998,,,,,
1000,7,0.95,,0.03,0.999,,,,,
1000,9,0.95,,0.03,1,,,,,
1000,11,0.95,,0.03,1,,,,,
1000,21,0.95,,0.03,1,,,,,
1000,31,0.95,,0.03,1,,,,,
1000,41,0.95,,0.03,1,,,,,
1000,51,0.95,,0.03,1,,,,,
1000,3,0.95,,0.04,0.993,,,,,
1000,5,0.95,,0.04,0.996,,,,,
1000,7,0.95,,0.04,1,,,,,
1000,9,0.95,,0.04,1,,,,,
1000,11,0.95,,0.04,1,,,,,
1000,21,0.95,,0.04,1,,,,,
1000,31,0.95,,0.04,1,,,,,
1000,41,0.95,,0.04,1,,,,,
1000,51,0.95,,0.04,1,,,,,
1000,3,0.95,,0.06,0.991,,,,,
1000,5,0.95,,0.06,0.999,,,,,
