,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct
162,1000,7,0.5,,0.02,,0.001,0.9990000000000001,0.9620000000000001,0.315,0.037000000000000005,0.016,0.271,0.547,0.5379999999999999,0.53,0.5429999999999999,0.544,0.809,0.975,0.8340000000000001,0.8220000000000001,0.987,0.009000000000000119
163,1000,7,0.5,,0.03,,0.0,1.0,0.961,0.341,0.039,0.02,0.268,0.575,0.574,0.5660000000000001,0.574,0.5710000000000001,0.795,0.986,0.809,0.8190000000000001,0.976,0.0010000000000000009
164,1000,7,0.5,,0.04,,0.0,1.0,0.9540000000000001,0.359,0.046,0.03,0.276,0.595,0.586,0.5720000000000001,0.589,0.596,0.823,0.985,0.838,0.84,0.983,0.009000000000000008
165,1000,7,0.5,,0.06,,0.0,1.0,0.9570000000000001,0.368,0.043,0.024,0.237,0.626,0.617,0.5589999999999999,0.621,0.624,0.8109999999999999,0.982,0.8290000000000001,0.825,0.986,0.009000000000000008
166,1000,7,0.5,,0.07,,0.0,1.0,0.951,0.358,0.049,0.026000000000000002,0.26899999999999996,0.649,0.614,0.623,0.614,0.643,0.841,0.988,0.853,0.861,0.98,0.03500000000000003
167,1000,7,0.5,,0.08,,0.001,0.9990000000000001,0.9520000000000001,0.34700000000000003,0.047,0.022000000000000002,0.265,0.6829999999999999,0.6559999999999999,0.653,0.6579999999999999,0.6829999999999999,0.8290000000000001,0.99,0.8390000000000001,0.8490000000000001,0.98,0.027000000000000024
168,1000,7,0.5,,0.1,,0.0,1.0,0.9540000000000001,0.368,0.046,0.03,0.297,0.6990000000000001,0.662,0.654,0.6679999999999999,0.6970000000000001,0.8190000000000001,0.988,0.831,0.845,0.9740000000000001,0.03700000000000003
169,1000,7,0.5,,0.11,,0.0,1.0,0.938,0.354,0.062,0.044000000000000004,0.332,0.72,0.6859999999999999,0.695,0.696,0.7190000000000001,0.82,0.986,0.8340000000000001,0.8390000000000001,0.981,0.03400000000000003
170,1000,7,0.5,,0.12,,0.001,0.9990000000000001,0.927,0.368,0.07200000000000001,0.043,0.327,0.741,0.696,0.718,0.6940000000000001,0.736,0.8290000000000001,0.9840000000000001,0.845,0.856,0.973,0.04500000000000004
171,1000,7,0.55,,0.02,,0.039,0.961,0.961,0.054000000000000006,0.0,0.0,0.267,0.594,0.59,0.5720000000000001,0.586,0.594,0.904,0.982,0.922,0.9059999999999999,0.998,0.0040000000000000036
