iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,5.0,0.85,,0.08,,0.35100000000000003,0.564,0.075,0.01,0.01,0.831,0.982
1000.0,5.0,0.85,,0.09,,0.259,0.613,0.11900000000000001,0.009000000000000001,0.009000000000000001,0.833,0.9840000000000001
1000.0,5.0,0.85,,0.12,,0.145,0.635,0.201,0.019,0.019,0.8340000000000001,0.972
1000.0,5.0,0.85,,0.13,,0.114,0.649,0.19899999999999998,0.038,0.038,0.8270000000000001,0.98
1000.0,5.0,0.85,,0.14,,0.11800000000000001,0.602,0.23199999999999998,0.048,0.048,0.84,0.9690000000000001
1000.0,5.0,0.9,,0.02,,1.0,0.0,0.0,0.0,0.0,0.846,1.0
1000.0,5.0,0.9,,0.03,,0.963,0.036000000000000004,0.001,0.0,0.0,0.857,1.0
1000.0,5.0,0.9,,0.04,,0.813,0.177,0.009000000000000001,0.001,0.001,0.892,1.0
1000.0,5.0,0.9,,0.07,,0.42200000000000004,0.516,0.062,0.0,0.0,0.871,0.996
1000.0,5.0,0.9,,0.08,,0.315,0.585,0.094,0.006,0.006,0.873,0.993
1000.0,5.0,0.9,,0.09,,0.29100000000000004,0.612,0.092,0.005,0.005,0.889,0.993
1000.0,5.0,0.9,,0.12,,0.16399999999999998,0.6409999999999999,0.182,0.013000000000000001,0.013000000000000001,0.895,0.987
1000.0,5.0,0.9,,0.13,,0.171,0.629,0.17600000000000002,0.024,0.024,0.863,0.99
1000.0,5.0,0.9,,0.14,,0.155,0.615,0.19899999999999998,0.031,0.031,0.858,0.9840000000000001
1000.0,5.0,0.95,,0.02,,0.935,0.061,0.004,0.0,0.0,0.927,1.0
1000.0,5.0,0.95,,0.03,,0.778,0.20800000000000002,0.013000000000000001,0.001,0.001,0.935,0.9990000000000001
1000.0,5.0,0.95,,0.04,,0.6659999999999999,0.307,0.027000000000000003,0.0,0.0,0.938,1.0
1000.0,5.0,0.95,,0.07,,0.41100000000000003,0.521,0.064,0.004,0.004,0.92,0.9990000000000001
1000.0,5.0,0.95,,0.08,,0.345,0.574,0.079,0.002,0.002,0.9309999999999999,0.995
1000.0,5.0,0.95,,0.09,,0.305,0.611,0.08199999999999999,0.002,0.002,0.932,0.998
1000.0,5.0,0.95,,0.12,,0.214,0.6459999999999999,0.126,0.013999999999999999,0.013999999999999999,0.894,0.987
