voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
9,0.65,0.64,0.5279526215413912,0.2757523556640001,0.567,-0.002,0.039,0.977,0.41
11,0.65,0.64,0.5279526215413912,0.2757523556640001,0.576,0.005,0.048,0.982,0.406
21,0.65,0.64,0.5279526215413912,0.2757523556640001,0.579,0.002,0.051,1.0,0.421
31,0.65,0.64,0.5279526215413912,0.2757523556640001,0.612,0.017,0.084,1.0,0.388
41,0.65,0.64,0.5279526215413912,0.2757523556640001,0.64,0.014,0.112,1.0,0.36
51,0.65,0.64,0.5279526215413912,0.2757523556640001,0.678,0.019,0.15,1.0,0.322
3,0.65,1.28,0.5074450532022363,0.2851281333924078,0.511,0.0,0.004,0.874,0.363
5,0.65,1.28,0.5074450532022363,0.2851281333924078,0.534,0.012,0.027,0.932,0.398
7,0.65,1.28,0.5074450532022363,0.2851281333924078,0.524,-0.005,0.017,0.958,0.434
9,0.65,1.28,0.5074450532022363,0.2851281333924078,0.52,-0.002,0.013,0.983,0.463
11,0.65,1.28,0.5074450532022363,0.2851281333924078,0.539,0.01,0.032,0.983,0.444
21,0.65,1.28,0.5074450532022363,0.2851281333924078,0.542,0.002,0.035,0.999,0.457
31,0.65,1.28,0.5074450532022363,0.2851281333924078,0.513,-0.015,0.006,1.0,0.487
41,0.65,1.28,0.5074450532022363,0.2851281333924078,0.554,0.021,0.047,1.0,0.446
51,0.65,1.28,0.5074450532022363,0.2851281333924078,0.521,-0.017,0.014,1.0,0.479
3,0.65,2.56,0.5018901041420145,0.2873647286289573,0.502,0.0,0.0,0.884,0.382
5,0.65,2.56,0.5018901041420145,0.2873647286289573,0.514,0.006,0.012,0.937,0.423
7,0.65,2.56,0.5018901041420145,0.2873647286289573,0.489,-0.013,-0.013,0.955,0.466
9,0.65,2.56,0.5018901041420145,0.2873647286289573,0.501,0.006,-0.001,0.978,0.477
11,0.65,2.56,0.5018901041420145,0.2873647286289573,0.512,0.006,0.01,0.983,0.471
21,0.65,2.56,0.5018901041420145,0.2873647286289573,0.51,-0.001,0.008,1.0,0.49
31,0.65,2.56,0.5018901041420145,0.2873647286289573,0.512,0.001,0.01,1.0,0.488
41,0.65,2.56,0.5018901041420145,0.2873647286289573,0.491,-0.011,-0.011,1.0,0.509
51,0.65,2.56,0.5018901041420145,0.2873647286289573,0.502,0.006,0.0,1.0,0.498
3,0.7,0.02,0.7,0.02,0.775,0.0,0.075,0.775,0.0
5,0.7,0.02,0.7,0.02,0.85,0.037,0.15,0.85,0.0
7,0.7,0.02,0.7,0.02,0.858,0.004,0.158,0.858,0.0
9,0.7,0.02,0.7,0.02,0.906,0.024,0.206,0.906,0.0
11,0.7,0.02,0.7,0.02,0.925,0.01,0.225,0.924,-0.001
21,0.7,0.02,0.7,0.02,0.982,0.028,0.282,0.983,0.001
31,0.7,0.02,0.7,0.02,0.995,0.007,0.295,0.995,0.0
41,0.7,0.02,0.7,0.02,0.998,0.002,0.298,0.998,0.0
51,0.7,0.02,0.7,0.02,1.0,0.001,0.3,1.0,0.0
3,0.7,0.04,0.6999999999999882,0.0399999999999561,0.788,0.0,0.088,0.788,0.0
5,0.7,0.04,0.6999999999999882,0.0399999999999561,0.844,0.028,0.144,0.846,0.002
7,0.7,0.04,0.6999999999999882,0.0399999999999561,0.877,0.017,0.177,0.873,-0.004
9,0.7,0.04,0.6999999999999882,0.0399999999999561,0.904,0.014,0.204,0.91,0.006
11,0.7,0.04,0.6999999999999882,0.0399999999999561,0.919,0.008,0.219,0.925,0.006
