voters,mean,std,ratio_difference_to_mean,ratio_correct
5,0.85,0.32,0.516,0.872
7,0.85,0.32,0.644,0.897
9,0.85,0.32,0.707,0.914
11,0.85,0.32,0.762,0.927
21,0.85,0.32,0.888,0.965
31,0.85,0.32,0.959,0.987
41,0.85,0.32,0.981,0.994
51,0.85,0.32,0.997,0.999
3,0.85,0.64,0.023,0.662
5,0.85,0.64,0.162,0.668
7,0.85,0.64,0.193,0.669
9,0.85,0.64,0.292,0.701
11,0.85,0.64,0.265,0.684
21,0.85,0.64,0.336,0.712
31,0.85,0.64,0.545,0.802
41,0.85,0.64,0.531,0.796
51,0.85,0.64,0.605,0.828
3,0.85,1.28,0.006,0.59
5,0.85,1.28,0.115,0.604
7,0.85,1.28,0.05,0.561
9,0.85,1.28,0.041,0.544
11,0.85,1.28,0.077,0.561
21,0.85,1.28,0.104,0.568
31,0.85,1.28,0.182,0.605
41,0.85,1.28,0.126,0.578
51,0.85,1.28,0.11,0.57
3,0.85,2.56,0.048,0.584
5,0.85,2.56,0.115,0.591
7,0.85,2.56,0.048,0.545
9,0.85,2.56,0.057,0.544
11,0.85,2.56,-0.02,0.498
21,0.85,2.56,0.056,0.532
31,0.85,2.56,0.058,0.533
41,0.85,2.56,0.056,0.532
51,0.85,2.56,0.01,0.509
3,0.9,0.02,1.0,1.0
5,0.9,0.02,1.0,1.0
7,0.9,0.02,1.0,1.0
9,0.9,0.02,1.0,1.0
11,0.9,0.02,1.0,1.0
21,0.9,0.02,1.0,1.0
31,0.9,0.02,1.0,1.0
41,0.9,0.02,1.0,1.0
51,0.9,0.02,1.0,1.0
3,0.9,0.04,1.0,1.0
5,0.9,0.04,0.989,0.999
7,0.9,0.04,1.01,1.001
9,0.9,0.04,1.0,1.0
11,0.9,0.04,1.0,1.0
21,0.9,0.04,1.0,1.0
31,0.9,0.04,1.0,1.0
41,0.9,0.04,1.0,1.0
51,0.9,0.04,1.0,1.0
3,0.9,0.08,1.013,1.001
5,0.9,0.08,1.031,1.003
7,0.9,0.08,0.974,0.997
9,0.9,0.08,0.983,0.998
11,0.9,0.08,1.009,1.001
21,0.9,0.08,1.0,1.0
31,0.9,0.08,1.0,1.0
41,0.9,0.08,1.0,1.0
51,0.9,0.08,1.0,1.0
