,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
625,11,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.989,0.039,0.406,0.675,-0.275,0.092,0.314,-0.011,0.008,0.227,-1.375,0.683
626,21,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.998,0.048,0.415,0.791,-0.159,0.208,0.207,0.058,0.005,0.501,11.6,0.793
627,31,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,1.0,0.05,0.417,0.821,-0.129,0.238,0.179,0.015,0.001,0.571,15.0,0.821
628,41,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,1.0,0.05,0.417,0.859,-0.091,0.276,0.141,0.019,0.0,0.662,inf,0.859
629,51,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,1.0,0.05,0.417,0.897,-0.053,0.314,0.103,0.019,0.0,0.753,inf,0.897
657,3,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.571,0.021,0.013,0.575,0.025,0.017,-0.004,0.0,0.0,1.308,,1.007
658,5,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.604,0.054,0.046,0.609,0.059,0.051,-0.005,0.017,0.017,1.109,1.0,1.008
659,7,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.607,0.057,0.049,0.624,0.074,0.066,-0.017,0.008,0.002,1.347,4.0,1.028
660,9,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.678,0.128,0.12,0.673,0.123,0.115,0.005,0.025,0.036,0.958,0.694,0.993
661,11,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.689,0.139,0.131,0.658,0.108,0.1,0.031,-0.008,0.005,0.763,-1.6,0.955
662,21,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.744,0.194,0.186,0.727,0.177,0.169,0.017,0.034,0.028,0.909,1.214,0.977
663,31,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.788,0.238,0.23,0.752,0.202,0.194,0.036,0.013,0.022,0.843,0.591,0.954
664,41,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.791,0.241,0.233,0.774,0.224,0.216,0.017,0.011,0.002,0.927,5.5,0.979
665,51,Lower,Lower,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.828,0.278,0.27,0.788,0.238,0.23,0.04,0.007,0.018,0.852,0.389,0.952
675,3,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.751,0.201,0.104,0.719,0.169,0.072,0.032,0.0,0.0,0.692,,0.957
676,5,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.791,0.241,0.144,0.739,0.189,0.092,0.052,0.01,0.02,0.639,0.5,0.934
677,7,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.838,0.288,0.191,0.785,0.235,0.138,0.053,0.023,0.023,0.723,1.0,0.937
678,9,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.87,0.32,0.223,0.827,0.277,0.18,0.043,0.021,0.016,0.807,1.312,0.951
679,11,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.893,0.343,0.246,0.848,0.298,0.201,0.045,0.011,0.012,0.817,0.917,0.95
680,21,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.96,0.41,0.313,0.917,0.367,0.27,0.043,0.035,0.033,0.863,1.061,0.955
681,31,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.984,0.434,0.337,0.943,0.393,0.296,0.041,0.013,0.012,0.878,1.083,0.958
682,41,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.991,0.441,0.344,0.964,0.414,0.317,0.027,0.011,0.004,0.922,2.75,0.973
683,51,Lower,Medium,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.999,0.449,0.352,0.985,0.435,0.338,0.014,0.011,0.004,0.96,2.75,0.986
693,3,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.878,0.328,0.138,0.823,0.273,0.083,0.055,0.0,0.0,0.601,,0.937
694,5,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.932,0.382,0.192,0.894,0.344,0.154,0.038,0.036,0.027,0.802,1.333,0.959
695,7,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.956,0.406,0.216,0.927,0.377,0.187,0.029,0.017,0.012,0.866,1.417,0.97
696,9,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.979,0.429,0.239,0.943,0.393,0.203,0.036,0.008,0.012,0.849,0.667,0.963
697,11,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.981,0.431,0.241,0.959,0.409,0.219,0.022,0.008,0.001,0.909,8.0,0.978
698,21,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.996,0.446,0.256,0.991,0.441,0.251,0.005,0.016,0.008,0.98,2.0,0.995
699,31,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,0.997,0.447,0.257,0.003,0.003,0.002,0.988,1.5,0.997
700,41,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,1.0,0.45,0.26,0.0,0.002,0.0,1.0,inf,1.0
701,51,Lower,Upper,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,1.0,0.45,0.26,0.0,0.0,0.0,1.0,,1.0
945,3,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.829,0.079,0.079,0.829,0.079,0.079,0.0,0.0,0.0,1.0,,1.0
946,5,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.909,0.159,0.159,0.911,0.161,0.161,-0.002,0.041,0.04,1.013,1.025,1.002
947,7,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.923,0.173,0.173,0.924,0.174,0.174,-0.001,0.007,0.007,1.006,1.0,1.001
948,9,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.947,0.197,0.197,0.944,0.194,0.194,0.003,0.01,0.012,0.985,0.833,0.997
949,11,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.966,0.216,0.216,0.967,0.217,0.217,-0.001,0.012,0.01,1.005,1.2,1.001
950,21,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.996,0.246,0.246,0.995,0.245,0.245,0.001,0.014,0.015,0.996,0.933,0.999
951,31,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.999,0.249,0.249,0.999,0.249,0.249,0.0,0.002,0.002,1.0,1.0,1.0
952,41,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.001,1.0,1.0,1.0
953,51,Medium,Lower,"TruncNorm[0.501,0.999]",1000,0.75,0.04,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
963,3,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.871,0.121,0.121,0.842,0.092,0.092,0.029,0.0,0.0,0.76,,0.967
964,5,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.916,0.166,0.166,0.909,0.159,0.159,0.007,0.034,0.023,0.958,1.478,0.992
965,7,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.956,0.206,0.206,0.933,0.183,0.183,0.023,0.012,0.02,0.888,0.6,0.976
966,9,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.983,0.233,0.233,0.97,0.22,0.22,0.013,0.018,0.014,0.944,1.286,0.987
967,11,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.991,0.241,0.241,0.968,0.218,0.218,0.023,-0.001,0.004,0.905,-0.25,0.977
968,21,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.999,0.249,0.249,0.994,0.244,0.244,0.005,0.013,0.004,0.98,3.25,0.995
969,31,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.003,0.001,1.0,3.0,1.0
970,41,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
971,51,Medium,Medium,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
981,3,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.872,0.122,0.122,0.84,0.09,0.09,0.032,0.0,0.0,0.738,,0.963
982,5,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.944,0.194,0.194,0.902,0.152,0.152,0.042,0.031,0.036,0.784,0.861,0.956
983,7,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.966,0.216,0.216,0.934,0.184,0.184,0.032,0.016,0.011,0.852,1.455,0.967
984,9,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.979,0.229,0.229,0.949,0.199,0.199,0.03,0.007,0.007,0.869,1.0,0.969
985,11,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.989,0.239,0.239,0.962,0.212,0.212,0.027,0.007,0.005,0.887,1.4,0.973
986,21,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.999,0.249,0.249,0.991,0.241,0.241,0.008,0.015,0.005,0.968,3.0,0.992
987,31,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,0.999,0.249,0.249,0.001,0.004,0.001,0.996,4.0,0.999
988,41,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,1.0,inf,1.0
989,51,Medium,Upper,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
1233,3,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,0.99,0.04,0.048,0.99,0.04,0.048,0.0,0.0,0.0,1.0,,1.0
1234,5,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.005,0.005,1.0,1.0,1.0
1235,7,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1236,9,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1237,11,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1238,21,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1239,31,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1240,41,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1241,51,Upper,Lower,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
1251,3,Upper,Medium,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.956,0.006,0.103,0.937,-0.013,0.084,0.019,0.0,0.0,0.816,,0.98
1252,5,Upper,Medium,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.982,0.032,0.129,0.978,0.028,0.125,0.004,0.02,0.013,0.969,1.538,0.996
1253,7,Upper,Medium,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.991,0.041,0.138,0.987,0.037,0.134,0.004,0.005,0.005,0.971,1.0,0.996
1254,9,Upper,Medium,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.997,0.047,0.144,0.99,0.04,0.137,0.007,0.002,0.003,0.951,0.667,0.993
1255,11,Upper,Medium,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,0.995,0.045,0.142,0.005,0.003,0.002,0.966,1.5,0.995
