voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
31,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.991,0.391,0.322,0.978,0.378,0.309,0.013,0.017,0.009,0.96,1.889,0.987
41,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.999,0.399,0.33,0.988,0.388,0.319,0.011,0.005,0.004,0.967,1.25,0.989
51,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.999,0.399,0.33,0.99,0.39,0.321,0.009,0.001,0.0,0.973,inf,0.991
3,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,0.859,0.259,0.137,0.822,0.222,0.1,0.037,0.0,0.0,0.729,,0.957
5,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,0.906,0.306,0.184,0.853,0.253,0.131,0.053,0.016,0.024,0.711,0.667,0.942
7,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,0.933,0.333,0.211,0.906,0.306,0.184,0.027,0.027,0.014,0.872,1.929,0.971
9,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,0.966,0.366,0.244,0.925,0.325,0.203,0.041,0.01,0.016,0.832,0.625,0.958
11,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,0.983,0.383,0.261,0.947,0.347,0.225,0.036,0.011,0.009,0.862,1.222,0.963
21,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,0.996,0.396,0.274,0.988,0.388,0.266,0.008,0.021,0.007,0.971,3.0,0.992
31,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,1.0,0.4,0.278,0.996,0.396,0.274,0.004,0.004,0.002,0.986,2.0,0.996
41,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,1.0,0.4,0.278,0.997,0.397,0.275,0.003,0.001,0.0,0.989,inf,0.997
51,0.6,0.32,"TruncNorm[0.501,0.999]",1000,0.7223067658239443,0.1364626016234437,1.0,0.4,0.278,1.0,0.4,0.278,0.0,0.002,0.0,1.0,inf,1.0
3,0.6,0.64,"TruncNorm[0.501,0.999]",1000,0.7425871143627151,0.1421989152574676,0.865,0.265,0.122,0.827,0.227,0.084,0.038,0.0,0.0,0.69,,0.956
5,0.6,0.64,"TruncNorm[0.501,0.999]",1000,0.7425871143627151,0.1421989152574676,0.924,0.324,0.181,0.882,0.282,0.139,0.042,0.028,0.03,0.768,0.933,0.955
7,0.6,0.64,"TruncNorm[0.501,0.999]",1000,0.7425871143627151,0.1421989152574676,0.953,0.353,0.21,0.904,0.304,0.161,0.049,0.011,0.014,0.767,0.786,0.949
