voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
41,0.65,2.56,0.7496850445205746,0.143669351859656,1.0,0.001,0.25,1.0,0.0
51,0.65,2.56,0.7496850445205746,0.143669351859656,1.0,0.0,0.25,1.0,0.0
3,0.7,0.01,0.7,0.01,0.784,0.0,0.084,0.784,0.0
5,0.7,0.01,0.7,0.01,0.815,0.015,0.115,0.815,0.0
7,0.7,0.01,0.7,0.01,0.897,0.041,0.197,0.897,0.0
9,0.7,0.01,0.7,0.01,0.906,0.005,0.206,0.906,0.0
11,0.7,0.01,0.7,0.01,0.913,0.004,0.213,0.913,0.0
21,0.7,0.01,0.7,0.01,0.973,0.03,0.273,0.973,0.0
31,0.7,0.01,0.7,0.01,0.988,0.008,0.288,0.988,0.0
41,0.7,0.01,0.7,0.01,0.995,0.004,0.295,0.995,0.0
51,0.7,0.01,0.7,0.01,0.999,0.002,0.299,0.999,0.0
3,0.7,0.02,0.7,0.02,0.783,0.0,0.083,0.783,0.0
5,0.7,0.02,0.7,0.02,0.821,0.019,0.121,0.821,0.0
7,0.7,0.02,0.7,0.02,0.887,0.033,0.187,0.887,0.0
9,0.7,0.02,0.7,0.02,0.893,0.003,0.193,0.893,0.0
11,0.7,0.02,0.7,0.02,0.901,0.004,0.201,0.902,0.001
21,0.7,0.02,0.7,0.02,0.966,0.032,0.266,0.969,0.003
31,0.7,0.02,0.7,0.02,0.987,0.011,0.287,0.989,0.002
41,0.7,0.02,0.7,0.02,0.995,0.004,0.295,0.995,0.0
51,0.7,0.02,0.7,0.02,0.999,0.002,0.299,0.999,0.0
3,0.7,0.04,0.7000000673659118,0.0399998324268134,0.772,0.0,0.072,0.771,-0.001
5,0.7,0.04,0.7000000673659118,0.0399998324268134,0.826,0.027,0.126,0.827,0.001
7,0.7,0.04,0.7000000673659118,0.0399998324268134,0.886,0.03,0.186,0.882,-0.004
9,0.7,0.04,0.7000000673659118,0.0399998324268134,0.915,0.015,0.215,0.913,-0.002
11,0.7,0.04,0.7000000673659118,0.0399998324268134,0.919,0.002,0.219,0.924,0.005
21,0.7,0.04,0.7000000673659118,0.0399998324268134,0.979,0.03,0.279,0.982,0.003
31,0.7,0.04,0.7000000673659118,0.0399998324268134,0.99,0.006,0.29,0.992,0.002
41,0.7,0.04,0.7000000673659118,0.0399998324268134,0.998,0.004,0.298,0.999,0.001
51,0.7,0.04,0.7000000673659118,0.0399998324268134,0.997,-0.001,0.297,0.998,0.001
3,0.7,0.08,0.7014264121509118,0.0780979656281642,0.786,0.0,0.085,0.79,0.004
5,0.7,0.08,0.7014264121509118,0.0780979656281642,0.852,0.033,0.151,0.861,0.009
7,0.7,0.08,0.7014264121509118,0.0780979656281642,0.877,0.013,0.176,0.897,0.02
9,0.7,0.08,0.7014264121509118,0.0780979656281642,0.887,0.005,0.186,0.913,0.026
11,0.7,0.08,0.7014264121509118,0.0780979656281642,0.936,0.025,0.235,0.944,0.008
21,0.7,0.08,0.7014264121509118,0.0780979656281642,0.971,0.017,0.27,0.988,0.017
31,0.7,0.08,0.7014264121509118,0.0780979656281642,0.992,0.011,0.291,0.995,0.003
41,0.7,0.08,0.7014264121509118,0.0780979656281642,0.996,0.002,0.295,0.999,0.003
51,0.7,0.08,0.7014264121509118,0.0780979656281642,0.999,0.002,0.298,1.0,0.001
3,0.7,0.16,0.7212403603702423,0.1203812682978136,0.809,0.0,0.088,0.84,0.031
5,0.7,0.16,0.7212403603702423,0.1203812682978136,0.867,0.029,0.146,0.898,0.031
7,0.7,0.16,0.7212403603702423,0.1203812682978136,0.879,0.006,0.158,0.914,0.035
9,0.7,0.16,0.7212403603702423,0.1203812682978136,0.927,0.024,0.206,0.955,0.028
11,0.7,0.16,0.7212403603702423,0.1203812682978136,0.929,0.001,0.208,0.971,0.042
21,0.7,0.16,0.7212403603702423,0.1203812682978136,0.981,0.026,0.26,0.995,0.014
31,0.7,0.16,0.7212403603702423,0.1203812682978136,0.993,0.006,0.272,0.999,0.006
41,0.7,0.16,0.7212403603702423,0.1203812682978136,1.0,0.004,0.279,1.0,0.0
51,0.7,0.16,0.7212403603702423,0.1203812682978136,1.0,0.0,0.279,1.0,0.0
3,0.7,0.32,0.7407068605415329,0.1378414411663158,0.841,0.0,0.1,0.871,0.03
5,0.7,0.32,0.7407068605415329,0.1378414411663158,0.888,0.024,0.147,0.93,0.042
7,0.7,0.32,0.7407068605415329,0.1378414411663158,0.927,0.02,0.186,0.955,0.028
